"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","883","User verifies Register link is present on homepage","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality","","",""
"","4217","Example #2","phase3-signin","2026-03-11","passed","2026-03-11","User Sign In > User attempts sign in with invalid credentials","","",""
"","1298","BUG - Tree Practice Questions page is empty","phase5-tree","2026-03-11","failed","2026-03-11","Tree Module","","",""
"","2041","Example #13","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","782","User clicks main Get Started button","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality","","",""
"","1677","Example #3","phase5-array","2026-03-11","passed","2026-03-11","Array Module > User accesses Array topics","","",""
"","1268","User navigates to registration page from sign in page","phase3-signin","2026-03-11","passed","2026-03-11","User Sign In","","",""
"","1777","Example #6","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","2181","User registers with valid credentials","phase2-registration","2026-03-11","passed","2026-03-11","User Registration","","",""
"","1781","Example #5","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","1929","Example #3","phase5-linkedlist","2026-03-11","passed","2026-03-11","Linked List Module > User accesses Linked List topics","","",""
"","1276","Example #2","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access module without login","","",""
"","1328","Example #6","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User accesses dropdown menu items after login","","",""
"","1623","Example #3","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","977","Example #4","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access module without login","","",""
"","1215","User accesses Array Practice Questions","phase5-array","2026-03-11","passed","2026-03-11","Array Module","","",""
